measure	picture.F	picture.dfn	picture.dfd	picture.p	picture.eta2	strategy.F	strategy.dfn	strategy.dfd	strategy.p	strategy.eta2	picture_by_strategy.F	picture_by_strategy.dfn	picture_by_strategy.dfd	picture_by_strategy.p	picture_by_strategy.eta2
ER_valence	1614.276	1	188	3.25e-94	0.896	0.763	1	188	0.383	0.004	441.766	1	188	3.08e-51	0.701
ER_arousal	689.359	1	188	8.48e-65	0.786	286.638	1	188	1.16e-39	0.604	138.096	1	188	2.91e-24	0.423
Corru	104.644	1	188	8.29e-20	0.358	1.353	1	188	0.246	0.007	56.928	1	188	1.88e-12	0.232
HP	87.528	1	188	2.53e-17	0.318	11.109	1	188	0.001	0.056	1.388	1	188	0.24	0.007
SCR	12.904	1	185	0.00042	0.065	3.682	1	185	0.057	0.02	0.678	1	185	0.412	0.004
Wins_ER_valence	2147.834	1	188	8.31e-105	0.92	0.853	1	188	0.357	0.005	539.152	1	188	4.04e-57	0.741
Wins_ER_arousal	844.199	1	188	1.93e-71	0.818	430.694	1	188	1.64e-50	0.696	133.147	1	188	1.24e-23	0.415
Wins_Corru	224.514	1	188	6.52e-34	0.544	0.865	1	188	0.353	0.005	140.516	1	188	1.45e-24	0.428
Wins_HP	128.582	1	188	4.81e-23	0.406	15.683	1	188	0.000106	0.077	0.692	1	188	0.406	0.004
Wins_SCR	18.687	1	185	2.51e-05	0.092	7.865	1	185	0.006	0.041	0.526	1	185	0.469	0.003
