id	Inhibit_ies_antisaccade.rho	Inhibit_ies_antisaccade.p	Inhibit_ies_antisaccade.FDR	Inhibit_stopsignal.rho	Inhibit_stopsignal.p	Inhibit_stopsignal.FDR	Inhibit_ies_stroop.rho	Inhibit_ies_stroop.p	Inhibit_ies_stroop.FDR	Inhibit_ies_flanker.rho	Inhibit_ies_flanker.p	Inhibit_ies_flanker.FDR	Inhibit_ies_shapematching.rho	Inhibit_ies_shapematching.p	Inhibit_ies_shapematching.FDR	Inhibit_ies_wordnaming.rho	Inhibit_ies_wordnaming.p	Inhibit_ies_wordnaming.FDR	Inhibit_ies_latent.rho	Inhibit_ies_latent.p	Inhibit_ies_latent.FDR
Valence | ER success (negative)	-0.0832298820143259	0.254866825536127	0.884056075408817	0.0486377146953735	0.506296348146034	0.945071805186064	-0.119406544749418	0.101726848090924	0.884056075408817	0.0972053904271133	0.183307095300455	0.884056075408817	0.00695541495463178	0.924324401058752	0.982825945429559	-0.0445773219164241	0.542475262648197	0.945071805186064	-0.0632796015105556	0.387013086994115	0.945071805186064
Arousal | ER success (negative)	-0.099203182140077	0.17442457157499	0.884056075408817	-0.0226834771104763	0.756699860489169	0.982825945429559	-0.076619585015795	0.294685358469606	0.884056075408817	0.0995178927404784	0.173054888444553	0.884056075408817	0.041697580551002	0.568886678479138	0.945071805186064	0.0222688287630089	0.761011678664471	0.982825945429559	-0.0149594216750105	0.838115046232918	0.982825945429559
Corrugator | ER success (negative)	-0.0357738317424768	0.624753738942444	0.945071805186064	0.0709204037359353	0.332172128439409	0.945071805186064	-0.0611990970333636	0.402505148705417	0.945071805186064	-0.0336266197408415	0.645693953914297	0.951548984715806	-0.147909302007603	0.042243582148959	0.884056075408817	0.0812033724428965	0.266658165728176	0.884056075408817	-0.0632805417799819	0.386670587319557	0.945071805186064
SCR | ER success (negative)	-0.045433565357664	0.53770567177146	0.945071805186064	0.0484312778193502	0.511536427632029	0.945071805186064	0.0526768272498823	0.474833974709702	0.945071805186064	-0.0500230781065696	0.49739231708041	0.945071805186064	0.14842495182303	0.0431956771382916	0.884056075408817	0.0104699446090798	0.88721247371572	0.982825945429559	0.097022224915963	0.187531166297042	0.884056075408817
Heart period | ER success (negative)	0.0352281412751738	0.630047870124042	0.945071805186064	0.00498435501605541	0.945730396291861	0.983704485579466	0.0157272614159512	0.829778975502634	0.982825945429559	-0.00364386142661619	0.960282950208526	0.983704485579466	0.0253981091650819	0.728662023113236	0.982825945429559	-0.0777264656077122	0.28774449828473	0.884056075408817	0.028697630601326	0.694808995707938	0.982825945429559
Valence | ER success	-0.0919375547567374	0.208314358111501	0.884056075408817	0.00838333545669422	0.908849974530194	0.982825945429559	-0.10245984239212	0.160634614636803	0.884056075408817	0.114641906220073	0.116230641132345	0.884056075408817	-0.000145354916053822	0.998416165854257	0.998416165854257	-0.0519697369903331	0.477576315961233	0.945071805186064	-0.0650281998703399	0.37400274138062	0.945071805186064
Arousal | ER success	0.0469127930389046	0.521510470378896	0.945071805186064	-0.0222433300389369	0.761277075132396	0.982825945429559	-0.0955073922857372	0.191114394565888	0.884056075408817	0.078454659572793	0.283238388408848	0.884056075408817	0.0367314144306034	0.615813229366285	0.945071805186064	0.0118193076508938	0.871765522874886	0.982825945429559	0.00802413564427376	0.912739639543115	0.982825945429559
Corrugator | ER success	0.0571393021560995	0.434479849750085	0.945071805186064	0.0378146163539753	0.605434658603292	0.945071805186064	0.0070548712206047	0.923181591414622	0.982825945429559	-0.027627579587266	0.70565091185294	0.982825945429559	-0.0897132636505476	0.219578941385272	0.884056075408817	0.132728607605508	0.0686562175672752	0.884056075408817	0.0162871718302849	0.823815721188575	0.982825945429559
SCR | ER success	-0.0989579885215559	0.178848115069342	0.884056075408817	0.0186285622388116	0.80075591723257	0.982825945429559	0.0146030798782222	0.843040095545202	0.982825945429559	-0.049799290406501	0.499320230401688	0.945071805186064	0.0416783418981246	0.572189097274807	0.945071805186064	0.00384836670837838	0.958424231557766	0.983704485579466	-0.00876781559893514	0.905373113064249	0.982825945429559
Heart period | ER success	0.0767610515650829	0.293505650318996	0.884056075408817	0.0128012955235817	0.861214490853596	0.982825945429559	0.0227501377557369	0.755795960066686	0.982825945429559	-0.106914449243677	0.143014473891325	0.884056075408817	0.101072511760528	0.166405718864607	0.884056075408817	-0.0378264710903483	0.605321504863369	0.945071805186064	0.0612933041824419	0.401780225921589	0.945071805186064
ERQ reappraisel	-0.14652965560875	0.0442242788591331	0.884056075408817	-0.08926860336049	0.221881916420261	0.884056075408817	-0.0602161300568968	0.410456629182628	0.945071805186064	-0.0861871071115081	0.238313780004663	0.884056075408817	0.000958836464033879	0.989552497332399	0.998416165854257	0.0567475279819886	0.437985611858148	0.945071805186064	-0.0539076718295221	0.461288145921968	0.945071805186064
ERQ suppression	-0.127601939852183	0.0801599284378801	0.884056075408817	-0.0363084632051571	0.619886622995437	0.945071805186064	0.061905785748551	0.397424489522735	0.945071805186064	0.13357083444802	0.066901858710734	0.884056075408817	0.0186950753571469	0.798466622350956	0.982825945429559	-0.106073239075006	0.146308899936092	0.884056075408817	-0.0131798610033761	0.857153416312587	0.982825945429559
