measure	Inhibit_ies_antisaccade.rho	Inhibit_ies_antisaccade.BF01	Inhibit_stopsignal.rho	Inhibit_stopsignal.BF01	Inhibit_ies_stroop.rho	Inhibit_ies_stroop.BF01	Inhibit_ies_flanker.rho	Inhibit_ies_flanker.BF01	Inhibit_ies_shapematching.rho	Inhibit_ies_shapematching.BF01	Inhibit_ies_wordnaming.rho	Inhibit_ies_wordnaming.BF01	Inhibit_ies_latent.rho	Inhibit_ies_latent.BF01
Valence | ER success (negative)	-0.0800452073079638	3.15275152196309	0.0468308220682291	4.77598515497983	-0.114817777982989	1.61094152268406	0.0935717410899386	2.50393331499425	0.00660114012948727	5.89353530153473	-0.0429861999795915	4.94301691154196	-0.0607973728398731	4.11492189485315
Arousal | ER success (negative)	-0.0955041514475278	2.41562232389186	-0.0218877740992558	5.64967430558674	-0.0737790857549967	3.47172400102745	0.0956690639944773	2.40183447674582	0.0401008532937385	5.05578793226504	0.0214326918970255	5.65923066885693	-0.014384755660773	5.80057790476078
Corrugator | ER success (negative)	-0.0344514430684522	5.27082303036579	0.0681453347316421	3.74818447807805	-0.0587884088784927	4.21302587524721	-0.0322606646826075	5.34257423674683	-0.142261354823752	0.797421373627968	0.0781122623252739	3.25008009429988	-0.0606907817994215	4.11487733949322
SCR | ER success (negative)	-0.0435450938427092	4.88544277488085	0.0464630007741203	4.7641820635137	0.0504927354121774	4.58490289382057	-0.048112535340639	4.69793909872597	0.142705317264861	0.806563975396339	0.0101180407951623	5.81625816366239	0.0932813184448942	2.52811332885196
Heart period | ER success (negative)	0.033867282718953	5.28938640774895	0.00465207527692173	5.90611881386428	0.0151502027563485	5.78820187452989	-0.0035181176705394	5.91231286726275	0.0245191531763901	5.58320084700428	-0.0747671614374962	3.41806953195198	0.0275187954397383	5.4935495415687
Valence | ER success	-0.0883181805092849	2.74278639899061	0.00812845631910676	5.88184795964274	-0.0985917512907587	2.27465415505382	0.110418210463391	1.78475756532555	-0.000185563560784191	5.91942016284731	-0.0497771841606182	4.6327151173028	-0.0625962757882418	4.03176100444879
Arousal | ER success	0.0449881493505455	4.84802334882839	-0.0214350986513305	5.65981309765586	-0.091709324735868	2.58001564867198	0.0754130600944516	3.38280721019123	0.035291726529692	5.2377191907052	0.0113933029025175	5.84495845768239	0.00766040331453199	5.88499055043822
Corrugator | ER success	0.0550612400625879	4.40118278653253	0.0362828810250698	5.19947723543763	0.00675828985372566	5.89279108382424	-0.0265819181600295	5.52366179614422	-0.0863375479638335	2.84594547963	0.127770574155669	1.18232970977852	0.0156466403633771	5.77880426241438
SCR | ER success	-0.0951565316583489	2.44326051956753	0.0178122549993039	5.6944561058566	0.0141250986160418	5.76277613692592	-0.0478195246563249	4.70732549765138	0.0401537509804372	5.03025766048022	0.00380225700692556	5.86561786509888	-0.00845868278421102	5.83325927417367
Heart period | ER success	0.0738184026611366	3.46486359735652	0.0121658652444179	5.83216383733684	0.0219533134091836	5.64812304209911	-0.102704772067054	2.08833571599103	0.0972466543247394	2.33423716382819	-0.0364920085420482	5.19905411536387	0.0590016812783569	4.20860569103123
ERQ reappraisel	-0.140988546639824	0.827998946556419	-0.08584704202629	2.86671289764366	-0.057974172534585	4.25901110204083	-0.082878112602267	3.01181808834943	0.00107295610601818	5.91893832063368	0.0546223067280593	4.41907317325052	-0.0518586317750572	4.54712887366717
ERQ suppression	-0.122896872300665	1.33712413454929	-0.0348685763298378	5.25242305213978	0.0595691443552092	4.17981519612268	0.128689526042857	1.1581159431637	0.0179153343472901	5.73484482665912	-0.102013622215977	2.122916018711	-0.012761915650556	5.82696675089684
