id	Inhibit_antisaccade.rho	Inhibit_antisaccade.p	Inhibit_antisaccade.FDR	Inhibit_stopsignal.rho	Inhibit_stopsignal.p	Inhibit_stopsignal.FDR	Inhibit_stroop.rho	Inhibit_stroop.p	Inhibit_stroop.FDR	Inhibit_flanker.rho	Inhibit_flanker.p	Inhibit_flanker.FDR	Inhibit_shapematching.rho	Inhibit_shapematching.p	Inhibit_shapematching.FDR	Inhibit_wordnaming.rho	Inhibit_wordnaming.p	Inhibit_wordnaming.FDR
Valence | ER success (negative)	-0.1562796738347	0.0317574930692919	0.619732691857149	0.0486377146953735	0.506296348146034	0.856526111383862	-0.108738007349643	0.136381224172844	0.760737999155179	0.0787890638821409	0.281185048023443	0.76681746757077	0.013524860367667	0.853455684569932	0.953960666791676	-0.00083119130036602	0.990943257968357	0.996872693090673
Arousal | ER success (negative)	-0.096449243539948	0.186754364018352	0.760737999155179	-0.0226834771104763	0.756699860489169	0.929016091686992	-0.0752967336785147	0.303125330373959	0.76681746757077	0.153946892785906	0.0344295939920638	0.619732691857149	0.0441908098456408	0.545984621957708	0.889501487923521	0.075317515669118	0.302991518202029	0.76681746757077
Corrugator | ER success (negative)	-0.0595362063073603	0.415771068125811	0.823299050787032	0.0709204037359353	0.332172128439409	0.76681746757077	-0.0574237010967134	0.432193524787059	0.823299050787032	0.0824099621438261	0.259593502509838	0.76681746757077	-0.0817152887336706	0.263644998505048	0.76681746757077	0.0527553491684281	0.470935973605157	0.847684752489282
SCR | ER success (negative)	-0.0305627710401487	0.678795398195578	0.889501487923521	0.0484312778193502	0.511536427632029	0.856526111383862	0.0574938574938575	0.435352302343408	0.823299050787032	0.0410687919048536	0.577826237280132	0.889501487923521	0.108501174892082	0.140444236489131	0.760737999155179	-0.143183767858033	0.0512166832903764	0.737520239381421
Heart period | ER success (negative)	0.109716291033701	0.132868942820709	0.760737999155179	0.00498435501605541	0.945730396291861	0.996872693090673	0.00847153344353792	0.907816717230736	0.976674599495133	-0.0161645319702339	0.825274824783006	0.943171228323436	0.0338462905773555	0.643826601933531	0.889501487923521	-0.0323531895041744	0.658526927471446	0.889501487923521
Valence | ER success	-0.164700056839783	0.0235299357943376	0.619732691857149	0.00838333545669422	0.908849974530194	0.976674599495133	-0.098477979742671	0.177611337561451	0.760737999155179	0.0703604955196619	0.336013026398854	0.76681746757077	0.0294315987196387	0.687668954936693	0.889501487923521	0.0287537278193872	0.694498793679944	0.889501487923521
Arousal | ER success	0.0283931439889643	0.698141921996304	0.889501487923521	-0.0222433300389369	0.761277075132396	0.929016091686992	-0.0963047390978468	0.187418530429097	0.760737999155179	0.0673420571994999	0.357204901518268	0.77935614876713	0.0894605764891419	0.220885556689472	0.760737999155179	0.0601959517420157	0.410613768760356	0.823299050787032
Corrugator | ER success	-0.00146403423541764	0.984048453599732	0.996872693090673	0.0378146163539753	0.605434658603292	0.889501487923521	0.00250093318402389	0.972737658168107	0.996872693090673	0.0732585334162311	0.316438354391117	0.76681746757077	-0.0346079498748057	0.63638013466908	0.889501487923521	0.101615304287003	0.16412963058783	0.760737999155179
SCR | ER success	-0.111898937011026	0.12836281957924	0.760737999155179	0.0186285622388116	0.80075591723257	0.943171228323436	-0.00028999156133881	0.996872693090673	0.996872693090673	0.114920632256507	0.118306349000383	0.760737999155179	0.0752797359301009	0.307156183628053	0.76681746757077	-0.0791540785507092	0.282855708221726	0.76681746757077
Heart period | ER success	0.105158750679946	0.149839370763736	0.760737999155179	0.0128012955235817	0.861214490853596	0.953960666791676	0.0163902664462575	0.822718815648176	0.943171228323436	-0.0557671020490563	0.445953652509642	0.823299050787032	0.0945977292430519	0.195395513863714	0.760737999155179	-0.0367409514079216	0.615721514431149	0.889501487923521
ERQ reappraisel	-0.0507298856768897	0.488158639048197	0.856526111383862	-0.08926860336049	0.221881916420261	0.760737999155179	-0.0696672438787724	0.340807763364786	0.76681746757077	-0.0926220249379963	0.204933073451217	0.760737999155179	-0.113653353728929	0.11943258133702	0.760737999155179	-0.0172156862920795	0.814112586191399	0.943171228323436
ERQ suppression	-0.229588300737352	0.00148326537383775	0.106795106916318	-0.0363084632051571	0.619886622995437	0.889501487923521	0.062534840769399	0.392636588198009	0.823299050787032	0.113987315266369	0.118343293652695	0.760737999155179	0.0429839839109792	0.557013401129391	0.889501487923521	0.0277961581229213	0.704188677939454	0.889501487923521
