Measure	Condition	M	SD	Min	Max	Q1	Q2	Q3	Skew	Kurt
valence	negative-permit	2.13227513227513	0.613665832262818	0.15	3.55	1.8	2.2	2.5	-0.437215174714152	0.478231147310919
valence	negative-distancing	1.56164021164021	0.744945348325261	0	3.7	1.05	1.45	2.1	0.300364434731268	-0.321484732105125
valence	neutral-permit	-0.959817754262199	0.521306563043609	-3.05	0.25	-1.25	-0.95	-0.55	-0.64521907287106	0.712444314376782
valence	neutral-distancing	-0.340620490620491	0.432725205164169	-3.65	0.85	-0.55	-0.25	-0.0499999999999998	-2.84877360835925	18.0848604093006
valence	negative	1.84695767195767	0.606092190083041	0.2	3.475	1.475	1.85	2.2	0.065415433296709	0.251464808581168
valence	neutral	-0.65	0.423079201377588	-3.35	0.325	-0.875	-0.575	-0.35	-1.66791504195017	8.00402469538479
valence	permit	0.586835143414091	0.35053412526932	-0.45	1.5	0.35	0.6	0.85	-0.0814772974766336	-0.11577549268188
valence	distancing	0.610279667422525	0.363257701640095	-0.325	1.725	0.35	0.575	0.875	0.419111506838708	0.169267617586918
valence	ER success (negative)	0.570634920634921	0.627429422196547	-0.9	2.8	0.0999999999999996	0.5	0.949999999999999	0.564243190598927	0.379528214069988
valence	ER success	1.18983218427663	0.778252596710326	-0.75	3.8	0.699999999999999	1.1	1.65	0.442082663964288	0.399994516743497
arousal	negative-permit	1.43994708994709	0.663789489633075	-0.85	2.95	1.05	1.5	1.9	-0.502094742436717	0.363317910288185
arousal	negative-distancing	0.321957671957672	0.883466262228886	-3.55	2.4	-0.0499999999999998	0.35	0.9	-1.39114795461679	4.6620227828825
arousal	neutral-permit	-0.644708994708995	0.855783543529619	-3.4	1.2	-1.1	-0.55	-0.0499999999999998	-0.717790018749964	0.862128403184528
arousal	neutral-distancing	-1.13174603174603	1.01373420655516	-3.95	0.95	-1.7	-0.95	-0.25	-0.733598255600244	-0.161995405227096
arousal	negative	0.880952380952381	0.684109836939187	-2.075	2.325	0.5	0.9	1.35	-0.957191840452863	2.55694033375252
arousal	neutral	-0.887962962962963	0.861601801016327	-3.5	1.025	-1.3	-0.8	-0.175	-0.78170919678655	0.31715848860559
arousal	permit	0.398036758563074	0.59044381835338	-1.375	1.95	0.125	0.475	0.775	-0.517610200764623	0.55270692273355
arousal	distancing	-0.404969765684051	0.802986152379614	-3.725	0.95	-0.75	-0.25	0.15	-1.49981933561903	3.23979329337425
arousal	ER success (negative)	1.11798941798942	0.755137848409277	-0.300000000000001	5.15	0.6	1	1.5	1.46682165934129	4.59998487044689
arousal	ER success	0.630952380952381	0.738138214913785	-1.1	3	0.0999999999999996	0.6	1.1	0.529101653778692	0.403363315304671
corrugator	negative-permit	0.629986981992063	1.05642227279899	-1.33327652	11.19541406	0.12846177	0.4043310675	0.8241113325	5.81831406117033	53.45769071485
corrugator	negative-distancing	0.303117808220688	0.609805267632696	-2.259504563	4.584385455	0.02089348	0.20429118	0.4655483075	2.07833470533604	14.6948978211984
corrugator	neutral-permit	-0.202137650892169	0.550365829259633	-2.666130915	2.605059388	-0.3731138175	-0.1160968275	0.0627311625	-0.823578093467072	7.5057422493236
corrugator	neutral-distancing	0.0177733604497354	0.399835718208444	-2.237023213	1.644380598	-0.1268332825	0.0360109625	0.1829157025	-1.13263121417291	8.43154966252912
corrugator	negative	0.466674917997884	0.686244799549714	-1.796390541	5.305178414	0.1091708538	0.32014832	0.60670679	3.16113301249667	18.5806047380439
corrugator	neutral	-0.0921165029701058	0.425489481366256	-2.133870955	2.124719993	-0.20352204	-0.05942503625	0.09714807125	-0.663395115511353	7.96040053008718
corrugator	permit	0.214135012719841	0.618668214140398	-1.814656273	5.451363966	-0.03954953	0.1464563325	0.3550047625	3.25854100794962	27.8211904926459
corrugator	distancing	0.160336652833862	0.43239146819171	-2.248263888	1.869890863	-0.01872967	0.1188218128	0.2881279563	-0.0673366263761059	7.33296903976409
corrugator	ER success (negative)	0.326869173771376	1.04575809754133	-2.641065358	11.780471295	-0.047295095	0.1283921825	0.44801778	7.24160291287854	77.1576457527468
corrugator	ER success	0.54678018511328	0.99627936475852	-1.260103898	10.729418662	0.0962255825	0.3545946675	0.7404564075	6.05093326424567	57.8732143712128
heart period	negative-permit	18.8123088666029	23.4660022003242	-113.5075	80.1283333333299	6.16874999999993	18.6056547619049	32.2642857142849	-0.75466406977007	4.97410421463294
heart period	negative-distancing	24.1831145549661	18.6723659119657	-19.823214285714	82.5274999999999	12.531845238095	21.91648989899	35.0569444444441	0.411273857469868	0.530142549564101
heart period	neutral-permit	7.28271635606351	19.9631852338207	-91.261507936508	112.587083333333	-2.91309523809502	6.97976190476197	17.4142857142859	0.0689258417598776	6.96419568453804
heart period	neutral-distancing	10.0095402914252	18.4348236482129	-42.927023809523	71.591666666667	-2.11880952381	9.44107142857104	21.1701587301581	0.0909320703700279	0.590648500309359
heart period	negative	21.4977117107845	18.3236521466729	-48.1374999999999	80.6025	10.2309027777775	21.6083333333349	31.492757936508	-0.0815298656669353	1.19066982271265
heart period	neutral	8.64612832374436	14.98968675219	-42.325416666665	55.0149107142867	-0.1623511904765	9.13973214285693	16.2049107142855	0.0129654051158359	1.23759872790842
heart period	permit	13.0475126113332	17.2903619353236	-87.19125	66.5262499999999	3.98273809523806	13.0296130952385	22.2972222222225	-0.666078529121413	5.96417077836503
heart period	distancing	17.0963274231957	14.9204503685076	-23.266984126984	68.9476190476195	7.22559523809548	15.9977678571435	25.7310119047621	0.450436111876013	0.737043670538216
heart period	ER success (negative)	-5.37080568836315	21.3446973289112	-130.74	49.986706349207	-18.7377976190479	-4.90287698412601	7.98339285714189	-1.07182878422264	5.4154606881529
heart period	ER success	-2.64398175300146	30.8473904002438	-137.769761904753	162.302063492064	-22.4275793650791	-2.61285714286009	14.2819642857152	0.327919616796677	5.31776957820498
scr	negative-permit	0.701952476666667	0.462093521848175	0.16260399	2.60377553	0.454086635	0.554251715	0.715565015	2.24538608357347	5.01696994162514
scr	negative-distancing	0.641119192473118	0.403488954812381	0.14389806	2.64191466	0.4104169075	0.51425656	0.75106875	2.4091421356871	7.45647479496354
scr	neutral-permit	0.577208856827957	0.305961346284968	0.17089275	1.97623429	0.3981404625	0.501784995	0.6494040575	2.11564216895077	5.38132269209266
scr	neutral-distancing	0.549376182258065	0.319854114727647	0.18853404	2.39393163	0.3866626	0.480743845	0.58157496	2.81605570464383	10.7789231451518
scr	negative	0.671535834569893	0.371445319440066	0.153251025	2.227128665	0.45450901875	0.540710915	0.76204579375	2.02931423210044	4.45756465236795
scr	neutral	0.563292519543011	0.247261885185901	0.19813347	1.59724874	0.40687756375	0.5209071	0.62059629375	1.84158185963261	4.18303396579768
scr	permit	0.639580666747312	0.293876224418306	0.219207635	1.88224616	0.4573972525	0.5397796075	0.7351162075	1.70135498639146	2.9935921231268
scr	distancing	0.595247687365591	0.279190855609859	0.1836034	1.834282585	0.4388757425	0.5120039475	0.68242056	1.93721416599089	4.67302579653718
scr	ER success (negative)	0.0608332841935484	0.448085949169958	-2.04067468	1.94787355	-0.0900824375	0.04013542	0.1535843675	0.543242707448917	5.83640940649347
scr	ER success	0.0330006096236559	0.546785883208301	-1.55748468	2.11482849	-0.1577227675	0.01051016	0.209487845	0.57083888366603	2.82887560263761
