statistic	ER_valence	ER_arousal	Corru	HP	SCR
neg_neu.df	1	1	1	1	1
neg_neu.chi2	189	184.021276595745	151.116402116402	53.973544973545	6.21505376344086
neg_neu.pval	5.25548009214513e-43	6.41896139380035e-42	9.88431623561385e-35	2.0320729340112e-13	0.012666850542984
neg_neu.w	1	0.973657548125633	0.799557683155567	0.285574312029338	0.033414267545381
permit_distancing.df	1	1	1	1	1
permit_distancing.chi2	0.791208791208791	168.531914893617	0.132275132275132	12.7037037037037	4.83870967741935
permit_distancing.pval	0.373734863712646	1.54817081903029e-38	0.716084669381551	0.00036493207201836	0.027827709340428
permit_distancing.w	0.00418628990057562	0.891703253405381	0.00069986842473615	0.0672153635116598	0.0260145681581686
ERsucc_neg.df	1	1	1	1	1
ERsucc_neg.chi2	146.574468085106	73.9945945945946	82.6719576719577	0.428571428571429	0.021505376344086
ERsucc_neg.pval	9.72199765807267e-34	7.83312304177141e-18	9.68657687389802e-20	0.512690760261923	0.883410563259735
ERsucc_neg.w	0.775526286164584	0.391505791505791	0.437417765460093	0.00226757369614512	0.000115620302925194
ERsucc.df	1	1	1	1	1
ERsucc.chi2	75.6739130434783	179.085561497326	28.1957671957672	8.04761904761905	9.48387096774194
ERsucc.pval	3.34599118344287e-18	7.67506550847703e-41	1.09644086052537e-07	0.00455634980318514	0.00207286138080848
ERsucc.w	0.400391074304118	0.947542653425006	0.149183953416758	0.0425799949609473	0.0509885535900104
