yvar	xlabel	anova.lm.resid.df	anova.lm.resid.dev	lm.aic	lm.rsq	lm.p.value	anova.gam.resid.df	anova.gam.resid.dev	gam.aic	gam.rsq	gam.p.value	anova.Deviance	anova.Df	anova.Pr(>Chi)	LM<GAM
ERsucc_neg_arousal	Antisaccade	187	105.936729640611	432.94572256604	0.00653521169470928	0.13645386785503	182.574323985169	103.175711485247	434.792109794832	0.0144088471368133	0.423378587237151	2.76101815536408	4.4256760148308	0.351177162325532	0
ERsucc_neg_arousal	Stroop	187	107.012923395505	434.856055346049	-0.0035572331495648	0.564235483875876	186.999999998069	107.012923395072	434.8560553472	-0.00355723315064926	0.564235368797699	4.32137881034578e-10	1.93114146895823e-09	2.03929009362078e-08	0
ERsucc_neg_arousal	Stop signal	187	107.194563917353	435.17658631617	-0.00526064105349389	0.898933718425232	186.999999998913	107.194563917079	435.17658631679	-0.00526064105389001	0.898934052461568	2.74141598310962e-10	1.08693143374694e-09	1.17262753572515e-08	0
ERsucc_neg_arousal	Flanker	187	107.160682511262	435.116838902367	-0.00494290438138667	0.784067140344147	179.616561248679	93.1064063863175	421.355415113022	0.09589128377524	0.00483269914085832	14.0542761249446	7.38343875132142	0.00040336315288788	1
ERsucc_neg_arousal	Shape matching	187	106.616616516472	434.154821929623	0.000159295867495746	0.311481126167514	186.999999996237	106.616616514792	434.154821930412	0.000159295873179977	0.311480998023249	1.6799361901576e-09	3.76255115952517e-09	3.71713188774593e-08	0
ERsucc_neg_arousal	Word naming	187	106.742783043346	434.378345959103	-0.00102388207594961	0.369954781391025	182.55118344062	103.142645585582	434.621351496778	0.0150202821931381	0.470906046420914	3.60013745776368	4.44881655938016	0.212324947349983	0
ERsucc_neg_arousal	Latent trait	187	107.186049267313	435.161573122256	-0.0051807914580897	0.86036135187901	185.359526535327	105.223394845525	433.787513921787	0.00760277726652459	0.486853754997494	1.96265442178779	1.64047346467342	0.130429808550213	0
ERsucc_arousal	Antisaccade	187	102.430321590231	426.58412475717	-0.00533672874483671	0.964191257379927	185.842483777811	101.069823986157	425.541859686452	0.00406217371996853	0.486486169898858	1.36049760407431	1.15751622218903	0.137567971024522	0
ERsucc_arousal	Stroop	187	102.053208279049	425.88700752074	-0.00163542373334602	0.406193401518692	186.99999999877	102.053208278731	425.887007521415	-0.00163542373361092	0.406193241005036	3.17683657158341e-10	1.23048948807991e-09	1.31541061900473e-08	0
ERsucc_arousal	Stop signal	187	102.150897975942	426.067839869902	-0.00259423201181308	0.474501727805748	186.546811615431	101.849954154538	425.998120357491	-0.000946324093680007	0.611723288171506	0.300943821404317	0.453188384568563	0.219366549691486	0
ERsucc_arousal	Flanker	187	102.267056997616	426.282635653982	-0.00373431366976829	0.584184836591668	180.312527205884	95.3163629794207	424.039700907612	0.0359772367713199	0.232426729768202	6.95069401819482	6.68747279411565	0.0570840550204225	0
ERsucc_arousal	Shape matching	187	102.431023790587	426.585420422459	-0.00534362072562433	0.978341882499503	186.853117666218	102.345382817211	426.577778435971	-0.00490729948733915	0.979658016865348	0.0856409733762575	0.146882333781804	0.142991876569803	0
ERsucc_arousal	Word naming	187	102.413585623717	426.553241752434	-0.00517246799111781	0.856956132788413	186.999999999098	102.413585623533	426.55324175305	-0.00517246799188031	0.856956219874201	1.83902670869429e-10	9.02417696124758e-10	9.89521607246098e-09	0
ERsucc_arousal	Latent trait	187	102.337454981204	426.412693581782	-0.00442525827906159	0.67906545449444	186.147522870894	101.636768147518	426.095043420669	-0.000171176324085032	0.656559866423727	0.700686833686191	0.852477129106347	0.215440016154619	0
