yvar	xlabel	anova.lm.resid.df	anova.lm.resid.dev	lm.aic	lm.rsq	lm.p.value	anova.gam.resid.df	anova.gam.resid.dev	gam.aic	gam.rsq	gam.p.value	anova.Deviance	anova.Df	anova.Pr(>Chi)	LM<GAM
ERsucc_neg_scr	Antisaccade	184	37.0692817635394	233.834940422677	-0.00339907631264635	0.541964400574634	183.999999997883	37.0692817634849	233.834940424559	-0.0033990763170475	0.541964264654397	5.45199441148725e-11	2.11710471376136e-09	2.34429531459367e-08	0
ERsucc_neg_scr	Stroop	184	37.1440754220388	234.20984935332	-0.0054236067130764	0.963977263117157	183.999999997381	37.1440754218986	234.209849355241	-0.00542360671644726	0.963977953906478	1.40268241466401e-10	2.61911736743059e-09	2.77669188379371e-08	0
ERsucc_neg_scr	Stop signal	184	37.1434511000632	234.206723017233	-0.00540670743518779	0.942934261323617	183.999999997103	37.1434510998333	234.206723018986	-0.00540670743689931	0.942935019662227	2.29924523864611e-10	2.89733748104481e-09	3.00005576401892e-08	0
ERsucc_neg_scr	Flanker	184	36.82316531183	232.595900950742	0.00326285530733472	0.206712243789549	183.999999997401	36.8231653117169	232.595900952764	0.00326285530337223	0.206712113235346	1.13097087250935e-10	2.59871058005956e-09	2.78190630400101e-08	0
ERsucc_neg_scr	Shape matching	184	36.747660384936	232.214121320027	0.00530663846951762	0.160346471397985	183.999999986381	36.7476603824304	232.214121320943	0.00530663850058422	0.16034627836051	2.50561527082027e-09	1.36193705202459e-08	1.24683979973456e-07	0
ERsucc_neg_scr	Word naming	184	37.1355331777316	234.167068905816	-0.00519238345652084	0.833397874142129	182.981515575933	36.7833483539404	233.602105692878	0.0010630416845494	0.592972580111909	0.352184823791198	1.018484424067	0.189230201668729	0
ERsucc_neg_scr	Latent trait	184	37.0917415759446	233.947601360916	-0.004007023215026	0.609595824350711	183.999999997183	37.0917415758499	233.94760136326	-0.0040070232201519	0.609595718146732	9.4686924967391e-11	2.81650613942475e-09	3.04109926365554e-08	0
ERsucc_scr	Antisaccade	184	54.8102141114836	306.577294221024	0.0036565076264482	0.196688924804353	183.999999997985	54.810214111292	306.577294222437	0.00365650762434411	0.196688742000797	1.91583637842996e-10	2.01541183741938e-09	2.14445550808928e-08	0
ERsucc_scr	Stroop	184	55.2090341566167	307.92580104127	-0.00359326804106352	0.56191409997153	183.999999998302	55.2090341564646	307.925801042439	-0.00359326804288429	0.561913969639695	1.52077461734734e-10	1.69765712598746e-09	1.82657324180024e-08	0
ERsucc_scr	Stop signal	184	55.2590114802467	308.094099172658	-0.00450175894868421	0.679788413697417	183.99999999457	55.2590114790527	308.094099174073	-0.00450175894181237	0.679788364813925	1.19401732945335e-09	5.42971179129381e-09	5.28282966786133e-08	0
ERsucc_scr	Flanker	184	54.7596269385381	306.405545959892	0.0045760844129803	0.175393218531139	177.820542690797	51.2961828115392	304.23020735242	0.0415490066520059	0.158612158543174	3.46344412699891	6.17945730920329	0.0659642359756179	0
ERsucc_scr	Shape matching	184	55.2896624360157	308.197240670736	-0.00505893393532664	0.793373658551392	183.999999997703	55.2896624356763	308.19724067185	-0.00505893393531731	0.793373577384584	3.39390737735812e-10	2.29707097787468e-09	2.37947271644588e-08	0
ERsucc_scr	Word naming	184	55.2817690614656	308.170684667093	-0.00491544768019336	0.758151906623123	183.280387938294	54.9812772668449	307.968170688623	-0.00166129728768438	0.746989598456523	0.30049179462064	0.719612061705703	0.224874877523425	0
ERsucc_scr	Latent trait	184	55.1964964637095	307.883556583449	-0.00336535707702268	0.538633797868462	183.999999998765	55.1964964636784	307.883556584605	-0.00336535707989594	0.538633653067019	3.11004555442196e-11	1.23537802210194e-09	1.42721331061868e-08	0
