Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
P_0001            1          25.5797      -154.5547
P_0001            2         377.7835       254.3682
P_0001            3          54.0035      -259.6648
P_0001            4         672.5532       701.9411
P_0001            5        2661.0320      1111.0021
P_0001            6        -973.1795      -187.0338
P_0001            7        1157.8671       363.6539
P_0001            8        1269.7414       500.9398
P_0001            9          30.2061       -86.1235
P_0001           10         722.9919       695.9410
P_0001           11         -85.4358      1076.6688
P_0001           12        -316.6847       217.2039
P_0001           13         901.2264       555.3377
P_0001           14         580.4502       -13.1662
P_0001           15        -173.6975       116.8436
P_0001           16         246.2817        26.3953
P_0001           17        -214.6702      -131.7459
P_0001           18        1138.6604      -691.1112
P_0001           19       -3548.7500     -1426.4887
P_0001           20       -1305.4717      -307.1192
P_0001           21       -2304.0854      -358.7670
P_0001           22         945.9360       139.5828
P_0001           23       -1715.6202      -765.0471
P_0001           24         293.5169       -89.6602
P_0001           25         142.1260       729.3775
P_0001           26        -381.1321      -416.7415
P_0001           27         361.3323       137.5243
P_0001           28          30.1024       -97.2793
P_0001           29       -2315.0360      -391.8897
P_0001           30        4801.4969       828.7229
P_0001           31        -248.9353       495.3551
P_0001           32        -571.6236       -79.1246
P_0001           33         375.6302       461.5089
P_0001           34         954.4164       158.2559
P_0001           35        -571.4481      -289.5055
P_0001           36         420.4816        98.9609
P_0001           37         182.6770      -316.7995
P_0001           38         -27.7925      -109.2529
P_0001           39        1351.0910       221.0780
P_0001           40         396.0918       273.5561
P_0001           41        1870.5419       211.9301
P_0001           42         413.7766       -23.4289
P_0001           43         968.9395       204.2718
P_0001           44        2313.0290       119.1655
P_0001           45         169.3246      -115.4144
