Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
T_0098            1          68.6400       119.1230
T_0098            2         315.7730       244.5880
T_0098            3         704.9450       852.4054
T_0098            4        -210.2971      -258.8170
T_0098            5         168.7043      -135.6281
T_0098            6        -138.2255      -131.0119
T_0098            7         101.9811       244.9957
T_0098            8          83.4192      -192.1210
T_0098            9          20.6883        79.5235
T_0098           10         394.2312       618.5278
T_0098           11          56.2593      -671.8439
T_0098           12          36.3789        34.6760
T_0098           13        -172.0902      -148.2654
T_0098           14        -496.2554     -1374.2096
T_0098           15         -26.1532       674.7640
T_0098           16       -1152.2732     -1866.8626
T_0098           17         177.9547       586.6255
T_0098           18         527.8631       321.8622
T_0098           19        -242.6842      -164.1567
T_0098           20         457.9547       349.3903
T_0098           21          -0.9353       392.8898
T_0098           22        -199.3498       -28.6779
T_0098           23         179.3407       265.1357
T_0098           24        -353.6623       -82.5360
T_0098           25         124.1015       641.1721
T_0098           26        -282.0816       944.5206
T_0098           27         665.0669      1079.6606
T_0098           28        -292.0557       486.7793
T_0098           29          19.7958      -289.2433
T_0098           30         448.0426       567.5986
T_0098           31        -705.6142      -911.0891
T_0098           32        -472.8545      -531.9945
T_0098           33        -333.9810      -295.4322
T_0098           34         589.5357       843.0062
T_0098           35         283.3384       694.9643
T_0098           36        -119.6364        88.3471
T_0098           37        -419.1052      -468.0141
T_0098           38           3.4445        64.3854
T_0098           39        -277.6903      -166.9086
T_0098           40        -184.2346       406.1392
T_0098           41         828.6959        68.1740
T_0098           42        -259.8777      -379.7762
T_0098           43        -303.7867      -650.6110
T_0098           44         516.8489        78.4175
T_0098           45          19.1860      -136.3528
T_0098           46         -85.1352       -63.4447
T_0098           47         267.1049       387.9774
T_0098           48         469.8133       292.1025
T_0098           49         -44.5668      -182.0485
T_0098           50         183.3757        43.7072
T_0098           51         154.9245       377.3886
T_0098           52        -148.1665       -26.6882
T_0098           53         300.4117       124.4431
T_0098           54         286.1033       503.8884
T_0098           55        1431.2934      -261.3553
T_0098           56          70.1500        91.9518
T_0098           57        -596.0550      -821.6486
T_0098           58         361.2402       303.9524
T_0098           59         136.4545        93.1332
T_0098           60         448.7998      -530.7272
T_0098           61        1092.0892      1048.1843
T_0098           62         179.5857       563.5490
T_0098           63         116.8193       -11.3326
T_0098           64         747.4196       595.6605
T_0098           65       -1051.2645      -668.5609
T_0098           66         144.5096       157.2760
T_0098           67         287.4608       234.0472
T_0098           68        1039.6691      1269.6586
T_0098           69         427.9354       145.8400
T_0098           70        -796.6488      -404.6572
T_0098           71         341.6489       424.0818
T_0098           72        1056.0211       412.9308
T_0098           73         695.4517      1197.6670
T_0098           74        2871.3067      1907.3889
T_0098           75         117.3560       164.7554
T_0098           76        1279.5253      1241.3961
T_0098           77         271.4384       -86.9981
T_0098           78         -44.8601       -96.8744
T_0098           79         -76.1189        93.6673
T_0098           80         131.7848       529.7025
