Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
T_0146_2          1        6079.0364      4785.0986
T_0146_2          2        1016.7673      1208.9218
T_0146_2          3         710.3268       160.0838
T_0146_2          4        -617.9051       198.2311
T_0146_2          5        1378.5056      -198.3737
T_0146_2          6        1669.1436      1721.7834
T_0146_2          7         702.7006      1152.6782
T_0146_2          8         554.7122      1065.8014
T_0146_2          9         463.2418        -2.0636
T_0146_2         10        -162.0079       179.1364
T_0146_2         11        1232.6640       351.3133
T_0146_2         12        -373.6969      -275.1241
T_0146_2         13        3284.7846      6684.2865
T_0146_2         14        -803.9884     -2184.6794
T_0146_2         15        2447.5730      1786.1835
T_0146_2         16        -402.5910      -222.2633
T_0146_2         17          53.0674       474.2503
T_0146_2         18        7865.4415      8110.8536
T_0146_2         19        -646.6959     -1546.7404
T_0146_2         20        3655.4722      5468.9216
T_0146_2         21        -748.1295       -75.6643
T_0146_2         22        5252.5043      5614.4060
T_0146_2         23        4105.9697      2989.1853
T_0146_2         24         -63.1454      -503.9326
T_0146_2         25        -711.4952      -384.4850
T_0146_2         26        1226.3560       731.8591
T_0146_2         27        1774.8694      2656.5870
