T_0146_2
BeatCount Mean SD BeatCountNoOutliers MeanNoOutliers SDNoOutliers
590 744,720338983051 44,3900533362936 578 742,399653979239 40,6189876399363

Trial TrialStatus Trialtype IBI AbsPosition RelPosition Outlier
0 2  760 956 956 0
0 2  737 1693 1693 0
0 0 0 742 2435 -6424 0
0 0 0 782 3217 -5642 0
0 0 0 792 4009 -4850 0
0 0 0 777 4786 -4073 0
0 0 0 737 5523 -3336 0
0 0 0 725 6248 -2611 0
1 1 S102 726 6974 -1885 0
1 1 S102 747 7721 -1138 0
1 1 S102 754 8475 -384 0
1 2 S102 737 9212 353 0
1 2 S102 752 9964 1105 0
1 2 S102 772 10736 1877 0
1 2 S102 815 11551 2692 0
1 2 S102 812 12363 3504 0
1 2 S102 756 13119 4260 0
1 2 S102 752 13871 5012 0
1 2 S102 759 14630 5771 0
1 2 S102 823 15453 6594 0
0 0 0 844 16297 -10533 0
0 0 0 837 17134 -9696 0
0 0 0 805 17939 -8891 0
0 0 0 733 18672 -8158 0
0 0 0 723 19395 -7435 0
0 0 0 731 20126 -6704 0
0 0 0 750 20876 -5954 0
0 0 0 764 21640 -5190 0
0 0 0 751 22391 -4439 0
0 0 0 727 23118 -3712 0
0 0 0 736 23854 -2976 0
0 0 0 720 24574 -2256 0
2 1 S106 706 25280 -1550 0
2 1 S106 671 25951 -879 0
2 1 S106 648 26599 -231 0
2 2 S106 650 27249 419 0
2 2 S106 655 27904 1074 0
2 2 S106 646 28550 1720 0
2 2 S106 652 29202 2372 0
2 2 S106 664 29866 3036 0
2 2 S106 699 30565 3735 0
2 2 S106 718 31283 4453 0
2 2 S106 725 32008 5178 0
2 2 S106 715 32723 5893 0
2 2 S106 711 33434 6604 0
0 0 0 682 34116 -6209 0
0 0 0 664 34780 -5545 0
0 0 0 664 35444 -4881 0
0 0 0 657 36101 -4224 0
0 0 0 674 36775 -3550 0
0 0 0 701 37476 -2849 0
0 0 0 716 38192 -2133 0
3 1 S116 698 38890 -1435 0
3 1 S116 688 39578 -747 0
3 1 S116 704 40282 -43 0
3 2 S116 721 41003 678 0
3 2 S116 762 41765 1440 0
3 2 S116 788 42553 2228 0
3 2 S116 793 43346 3021 0
3 2 S116 758 44104 3779 0
3 2 S116 773 44877 4552 0
3 2 S116 767 45644 5319 0
3 2 S116 800 46444 6119 0
3 2 S116 821 47265 6940 0
0 0 0 842 48107 -7420 0
0 0 0 810 48917 -6610 0
0 0 0 765 49682 -5845 0
0 0 0 759 50441 -5086 0
0 0 0 730 51171 -4356 0
0 0 0 754 51925 -3602 0
0 0 0 762 52687 -2840 0
0 0 0 725 53412 -2115 0
4 1 S106 721 54133 -1394 0
4 1 S106 739 54872 -655 0
4 2 S106 771 55643 116 0
4 2 S106 812 56455 928 0
4 2 S106 804 57259 1732 0
4 2 S106 766 58025 2498 0
4 2 S106 748 58773 3246 0
4 2 S106 733 59506 3979 0
4 2 S106 738 60244 4717 0
4 2 S106 745 60989 5462 0
4 2 S106 749 61738 6211 0
4 2 S106 718 62456 6929 0
0 0 0 713 63169 -7428 0
0 0 0 728 63897 -6700 0
0 0 0 729 64626 -5971 0
0 0 0 758 65384 -5213 0
0 0 0 753 66137 -4460 0
0 0 0 718 66855 -3742 0
0 0 0 721 67576 -3021 0
0 0 0 704 68280 -2317 0
5 1 S102 714 68994 -1603 0
5 1 S102 729 69723 -874 0
5 1 S102 716 70439 -158 0
5 2 S102 678 71117 520 0
5 2 S102 649 71766 1169 0
5 2 S102 641 72407 1810 0
5 2 S102 627 73034 2437 1
5 2 S102 685 73719 3122 0
5 2 S102 787 74506 3909 0
5 2 S102 826 75332 4735 0
5 2 S102 831 76163 5566 0
5 2 S102 820 76983 6386 0
0 0 0 786 77769 -6771 0
0 0 0 731 78500 -6040 0
0 0 0 727 79227 -5313 0
0 0 0 722 79949 -4591 0
0 0 0 729 80678 -3862 0
0 0 0 733 81411 -3129 0
0 0 0 713 82124 -2416 0
6 1 S112 718 82842 -1698 0
6 1 S112 763 83605 -935 0
6 1 S112 801 84406 -134 0
6 2 S112 811 85217 677 0
6 2 S112 787 86004 1464 0
6 2 S112 761 86765 2225 0
6 2 S112 730 87495 2955 0
6 2 S112 706 88201 3661 0
6 2 S112 727 88928 4388 0
6 2 S112 752 89680 5140 0
6 2 S112 813 90493 5953 0
6 2 S112 830 91323 6783 0
0 0 0 822 92145 -8509 0
0 0 0 795 92940 -7714 0
0 0 0 766 93706 -6948 0
0 0 0 743 94449 -6205 0
0 0 0 734 95183 -5471 0
0 0 0 728 95911 -4743 0
