Trial	x	y	RT
1	-100	54	4327
2	45	47	3383
3	-101	101	2355
4	104	49	3514
5	-39	42	7643
6	47	3	2122
7	2	0	1990
8	-152	103	6764
9	-101	48	2735
10	46	0	2636
11	-52	-2	2570
12	-95	53	4410
13	-46	-1	1840
14	0	-1	1012
15	-146	39	4774
16	-1	53	2951
17	48	5	2636
18	0	-1	5405
19	0	0	2089
20	-57	-2	5372
21	0	0	1243
22	-91	49	4344
23	-95	51	2421
24	6	-98	5936
25	1	-95	1392
26	-44	1	4261
27	0	0	2404
28	0	0	2155
29	-43	0	4493
30	-96	51	1790
31	0	0	945
32	5	-61	1476
33	-157	48	2188
34	-48	-1	1940
35	52	-4	1426
36	0	0	879
37	-55	2	9881
38	55	49	1559
39	0	0	4294
40	-43	43	4576
41	104	51	3250
42	-96	47	1591
43	-150	50	3332
44	1	-103	1724
45	-99	51	3548
46	4	46	3814
47	-46	47	3416
48	-52	50	4277
49	-100	44	1956
50	42	-5	1028
51	-98	99	5836
52	-105	53	1525
53	-48	49	1923
54	-56	5	1724
55	50	45	1310
56	51	102	3896
57	45	-1	1923
58	43	8	1327
59	-40	45	3946
60	3	-46	2056
