Trial	x	y	RT
1	-92	-113	1906
2	100	-148	1392
3	-207	147	2354
4	-202	-147	1476
5	-198	-103	1741
6	202	107	1393
7	9	-158	2322
8	-54	149	2669
9	45	153	2404
10	51	-102	2255
11	-99	-36	3167
12	-143	51	1989
13	-106	147	2686
14	144	-151	2205
15	-197	101	1774
16	-35	-25	3565
17	206	97	1260
18	99	-103	2040
19	53	-47	2553
20	-137	51	2520
21	-43	-104	2188
22	-149	153	2387
23	-111	101	2718
24	100	-104	1956
25	-97	-159	3034
26	-41	202	1293
27	196	98	1807
28	88	-102	2503
29	-158	43	2935
30	-43	-3	1957
31	151	-40	2653
32	-60	-150	1409
33	-122	32	3448
34	138	-48	1724
35	103	-99	1326
36	-107	-100	2851
37	-165	-48	2901
38	154	51	2902
39	-97	60	2155
40	-151	-146	3117
41	-97	-47	1293
42	-102	113	2404
43	-150	47	2786
44	8	-153	2288
45	-205	1	1128
46	105	-99	3200
47	-104	54	2653
48	-117	98	1509
49	-94	144	2554
50	101	-57	2619
51	-101	62	2254
52	-40	155	2619
53	-102	-139	3912
54	48	-160	1923
55	2	-153	2553
56	95	204	1326
57	214	47	2189
58	152	-150	2868
59	102	105	3532
60	-51	-152	2023
61	29	-49	3183
62	-199	58	2902
63	-69	-202	1724
64	73	82	2935
65	53	15	3100
66	-205	-36	3266
67	76	-137	3398
68	169	98	1459
69	75	-66	1906
70	-133	53	2686
71	-174	82	4029
72	108	-28	2338
73	-194	-11	3250
74	192	50	2818
75	-197	53	2719
76	-112	-68	2670
77	33	-123	1857
78	-82	-70	3648
79	-45	-148	3183
80	-162	148	2901
